ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 cur amSensorRef:@p:linkEdge:r:2d9aaf5a-6e83ede1 "Site B Room 2 AQ" mod:2024-04-12T14:41:04.003Z hisSize:78933 tz:"Bucharest" roomRef:@p:linkEdge:r:2d996b8c-aab4b9e7 "Site B Room 2nca" lorawanPoint curStatus:"ok" amSensorAM107ModelId:"_amSensorAM107_point:tvoc" point his curVal:116ppb disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d9aaf5a-8fb5e82f "2 AQ" navName:"TVOC" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d9aaf5a-6e83ede1 "Site B Room 2 AQ" id:@p:linkEdge:r:2d9aaf5a-4616b60a "Site B Room 2 AQ TVOC" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T03:00:00+02:00 Bucharest airQuality hisStatus:"ok" innLinkEdge kind:"Number" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:1 lorawanCur:"tvoc" unit:"ppb" floorRef:@p:linkEdge:r:2d996b6c-2cc687ba "p:linkEdge:r:2d996b6c-2cc687ba" sensor
2025-01-02T13:15:00+02:00 Bucharest,70ppb
2025-01-02T13:21:18+02:00 Bucharest,68ppb
2025-01-02T13:30:00+02:00 Bucharest,68ppb
2025-01-02T13:45:00+02:00 Bucharest,68ppb
2025-01-02T13:51:17+02:00 Bucharest,67ppb
2025-01-02T14:00:00+02:00 Bucharest,67ppb
2025-01-02T14:15:00+02:00 Bucharest,67ppb
2025-01-02T14:30:00+02:00 Bucharest,67ppb
2025-01-02T14:41:18+02:00 Bucharest,64ppb
2025-01-02T14:45:00+02:00 Bucharest,64ppb
2025-01-02T15:00:00+02:00 Bucharest,64ppb
2025-01-02T15:01:17+02:00 Bucharest,60ppb
2025-01-02T15:11:18+02:00 Bucharest,62ppb
2025-01-02T15:15:00+02:00 Bucharest,62ppb
2025-01-02T15:21:17+02:00 Bucharest,61ppb
2025-01-02T15:30:00+02:00 Bucharest,61ppb
2025-01-02T15:31:17+02:00 Bucharest,60ppb
2025-01-02T15:41:18+02:00 Bucharest,61ppb
2025-01-02T15:45:00+02:00 Bucharest,61ppb
2025-01-02T15:51:17+02:00 Bucharest,59ppb
2025-01-02T16:00:00+02:00 Bucharest,59ppb
2025-01-02T16:15:00+02:00 Bucharest,59ppb
2025-01-02T16:21:18+02:00 Bucharest,57ppb
2025-01-02T16:30:00+02:00 Bucharest,57ppb
2025-01-02T16:45:00+02:00 Bucharest,57ppb
2025-01-02T17:00:00+02:00 Bucharest,57ppb
2025-01-02T17:01:17+02:00 Bucharest,53ppb
2025-01-02T17:15:00+02:00 Bucharest,53ppb
2025-01-02T17:30:00+02:00 Bucharest,53ppb
2025-01-02T17:31:17+02:00 Bucharest,54ppb
2025-01-02T17:45:00+02:00 Bucharest,54ppb
2025-01-02T17:51:17+02:00 Bucharest,58ppb
2025-01-02T18:00:00+02:00 Bucharest,58ppb
2025-01-02T18:11:17+02:00 Bucharest,61ppb
2025-01-02T18:15:00+02:00 Bucharest,61ppb
2025-01-02T18:30:00+02:00 Bucharest,61ppb
2025-01-02T18:41:17+02:00 Bucharest,65ppb
2025-01-02T18:45:00+02:00 Bucharest,65ppb
2025-01-02T19:00:00+02:00 Bucharest,65ppb
2025-01-02T19:11:18+02:00 Bucharest,66ppb
2025-01-02T19:15:00+02:00 Bucharest,66ppb
2025-01-02T19:30:00+02:00 Bucharest,66ppb
2025-01-02T19:45:00+02:00 Bucharest,66ppb
2025-01-02T19:51:17+02:00 Bucharest,60ppb
2025-01-02T20:00:00+02:00 Bucharest,60ppb
2025-01-02T20:15:00+02:00 Bucharest,60ppb
2025-01-02T20:21:17+02:00 Bucharest,57ppb
2025-01-02T20:30:00+02:00 Bucharest,57ppb
2025-01-02T20:41:17+02:00 Bucharest,56ppb
2025-01-02T20:45:00+02:00 Bucharest,56ppb
2025-01-02T20:51:18+02:00 Bucharest,52ppb
2025-01-02T21:00:00+02:00 Bucharest,52ppb
2025-01-02T21:15:00+02:00 Bucharest,52ppb
2025-01-02T21:30:00+02:00 Bucharest,52ppb
2025-01-02T21:41:17+02:00 Bucharest,49ppb
2025-01-02T21:45:00+02:00 Bucharest,49ppb
2025-01-02T22:00:00+02:00 Bucharest,49ppb
2025-01-02T22:01:18+02:00 Bucharest,51ppb
2025-01-02T22:11:17+02:00 Bucharest,53ppb
2025-01-02T22:15:00+02:00 Bucharest,53ppb
2025-01-02T22:30:00+02:00 Bucharest,53ppb
2025-01-02T22:41:17+02:00 Bucharest,56ppb
2025-01-02T22:45:00+02:00 Bucharest,56ppb
2025-01-02T22:51:17+02:00 Bucharest,59ppb
2025-01-02T23:00:00+02:00 Bucharest,59ppb
2025-01-02T23:11:17+02:00 Bucharest,60ppb
2025-01-02T23:15:00+02:00 Bucharest,60ppb
2025-01-02T23:30:00+02:00 Bucharest,60ppb
2025-01-02T23:41:18+02:00 Bucharest,59ppb
2025-01-02T23:45:00+02:00 Bucharest,59ppb
2025-01-03T00:00:00+02:00 Bucharest,59ppb
2025-01-03T00:01:17+02:00 Bucharest,56ppb
2025-01-03T00:15:00+02:00 Bucharest,56ppb
2025-01-03T00:30:00+02:00 Bucharest,56ppb
2025-01-03T00:45:00+02:00 Bucharest,56ppb
2025-01-03T00:51:18+02:00 Bucharest,51ppb
2025-01-03T01:00:00+02:00 Bucharest,51ppb
2025-01-03T01:01:17+02:00 Bucharest,50ppb
2025-01-03T01:15:00+02:00 Bucharest,50ppb
2025-01-03T01:21:18+02:00 Bucharest,47ppb
2025-01-03T01:30:00+02:00 Bucharest,47ppb
2025-01-03T01:41:17+02:00 Bucharest,45ppb
2025-01-03T01:45:00+02:00 Bucharest,45ppb
2025-01-03T02:00:00+02:00 Bucharest,45ppb
2025-01-03T02:11:17+02:00 Bucharest,46ppb
2025-01-03T02:15:00+02:00 Bucharest,46ppb
2025-01-03T02:30:00+02:00 Bucharest,46ppb
2025-01-03T02:45:00+02:00 Bucharest,46ppb
2025-01-03T03:00:00+02:00 Bucharest,46ppb
2025-01-03T03:15:00+02:00 Bucharest,46ppb
2025-01-03T03:30:00+02:00 Bucharest,46ppb
2025-01-03T03:41:17+02:00 Bucharest,54ppb
2025-01-03T03:45:00+02:00 Bucharest,54ppb
2025-01-03T04:00:00+02:00 Bucharest,54ppb
2025-01-03T04:01:17+02:00 Bucharest,53ppb
2025-01-03T04:15:00+02:00 Bucharest,53ppb
2025-01-03T04:21:17+02:00 Bucharest,51ppb
2025-01-03T04:30:00+02:00 Bucharest,51ppb
