ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 mod:2024-04-12T14:46:51.78Z hisSize:51917 tz:"Bucharest" precision:1 roomRef:@p:linkEdge:r:2d996b7e-192811d1 "Site B Room 4 Living" lorawanPoint his id:@p:linkEdge:r:2d997a3d-7836afaf "Site B Room 4 Living AQ Temperature" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T02:45:00+02:00 Bucharest innLinkEdge kind:"Number" unit:"°C" sensor cur amSensorRef:@p:linkEdge:r:2d997a3d-a040140e "Site B Room 4 Living AQ" curStatus:"ok" point curVal:25.2°C disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d997a3d-8ce770dd "4 Living AQ" navName:"Temperature" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d997a3d-a040140e "Site B Room 4 Living AQ" temp hisStatus:"ok" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:0.1 lorawanCur:"temperature" floorRef:@p:linkEdge:r:2d996b5e-526d9983 "p:linkEdge:r:2d996b5e-526d9983" amSensorAM307ModelId:"_amSensorAM307_point:temperature"
2025-01-02T05:28:11+02:00 Bucharest,23.299999237060547°C
2025-01-02T05:30:00+02:00 Bucharest,23.299999237060547°C
2025-01-02T05:45:00+02:00 Bucharest,23.299999237060547°C
2025-01-02T06:00:00+02:00 Bucharest,23.399999618530273°C
2025-01-02T06:08:10+02:00 Bucharest,23.600000381469727°C
2025-01-02T06:15:00+02:00 Bucharest,23.600000381469727°C
2025-01-02T06:28:09+02:00 Bucharest,23.799999237060547°C
2025-01-02T06:30:00+02:00 Bucharest,23.799999237060547°C
2025-01-02T06:45:00+02:00 Bucharest,23.799999237060547°C
2025-01-02T07:00:00+02:00 Bucharest,23.799999237060547°C
2025-01-02T07:08:09+02:00 Bucharest,24°C
2025-01-02T07:15:00+02:00 Bucharest,24°C
2025-01-02T07:30:00+02:00 Bucharest,24°C
2025-01-02T07:45:00+02:00 Bucharest,24°C
2025-01-02T08:00:00+02:00 Bucharest,24°C
2025-01-02T08:15:00+02:00 Bucharest,24°C
2025-01-02T08:28:08+02:00 Bucharest,23.899999618530273°C
2025-01-02T08:30:00+02:00 Bucharest,23.899999618530273°C
2025-01-02T08:45:00+02:00 Bucharest,23.799999237060547°C
2025-01-02T09:00:00+02:00 Bucharest,23.799999237060547°C
2025-01-02T09:08:07+02:00 Bucharest,23.700000762939453°C
2025-01-02T09:15:00+02:00 Bucharest,23.700000762939453°C
2025-01-02T09:30:00+02:00 Bucharest,23.600000381469727°C
2025-01-02T09:45:00+02:00 Bucharest,23.600000381469727°C
2025-01-02T10:00:00+02:00 Bucharest,23.600000381469727°C
2025-01-02T10:08:06+02:00 Bucharest,23.5°C
2025-01-02T10:15:00+02:00 Bucharest,23.5°C
2025-01-02T10:28:05+02:00 Bucharest,23.399999618530273°C
2025-01-02T10:30:00+02:00 Bucharest,23.399999618530273°C
2025-01-02T10:45:00+02:00 Bucharest,23.399999618530273°C
2025-01-02T11:00:00+02:00 Bucharest,23.299999237060547°C
2025-01-02T11:15:00+02:00 Bucharest,23.299999237060547°C
2025-01-02T11:30:00+02:00 Bucharest,23.299999237060547°C
2025-01-02T11:45:00+02:00 Bucharest,23.299999237060547°C
2025-01-02T12:00:00+02:00 Bucharest,23.399999618530273°C
2025-01-02T12:15:00+02:00 Bucharest,23.399999618530273°C
2025-01-02T12:30:00+02:00 Bucharest,23.399999618530273°C
2025-01-02T12:38:03+02:00 Bucharest,23.899999618530273°C
2025-01-02T12:45:00+02:00 Bucharest,23.899999618530273°C
2025-01-02T12:48:03+02:00 Bucharest,24°C
2025-01-02T12:58:03+02:00 Bucharest,24.100000381469727°C
2025-01-02T13:00:00+02:00 Bucharest,24.100000381469727°C
2025-01-02T13:15:00+02:00 Bucharest,24.200000762939453°C
2025-01-02T13:30:00+02:00 Bucharest,24.200000762939453°C
2025-01-02T13:38:02+02:00 Bucharest,24.399999618530273°C
2025-01-02T13:45:00+02:00 Bucharest,24.399999618530273°C
2025-01-02T13:58:02+02:00 Bucharest,24.5°C
2025-01-02T14:00:00+02:00 Bucharest,24.5°C
2025-01-02T14:08:01+02:00 Bucharest,24.600000381469727°C
2025-01-02T14:15:00+02:00 Bucharest,24.600000381469727°C
2025-01-02T14:30:00+02:00 Bucharest,24.600000381469727°C
2025-01-02T14:45:00+02:00 Bucharest,24.600000381469727°C
2025-01-02T15:00:00+02:00 Bucharest,24.700000762939453°C
2025-01-02T15:15:00+02:00 Bucharest,24.700000762939453°C
2025-01-02T15:30:00+02:00 Bucharest,24.700000762939453°C
2025-01-02T15:45:00+02:00 Bucharest,24.700000762939453°C
2025-01-02T16:00:00+02:00 Bucharest,24.700000762939453°C
2025-01-02T16:07:59+02:00 Bucharest,24.799999237060547°C
2025-01-02T16:15:00+02:00 Bucharest,24.799999237060547°C
2025-01-02T16:30:00+02:00 Bucharest,24.799999237060547°C
2025-01-02T16:37:59+02:00 Bucharest,24.700000762939453°C
2025-01-02T16:45:00+02:00 Bucharest,24.700000762939453°C
2025-01-02T17:00:00+02:00 Bucharest,24.700000762939453°C
2025-01-02T17:15:00+02:00 Bucharest,24.700000762939453°C
2025-01-02T17:30:00+02:00 Bucharest,24.600000381469727°C
2025-01-02T17:45:00+02:00 Bucharest,24.600000381469727°C
2025-01-02T18:00:00+02:00 Bucharest,24.600000381469727°C
2025-01-02T18:07:57+02:00 Bucharest,24.5°C
2025-01-02T18:15:00+02:00 Bucharest,24.5°C
2025-01-02T18:30:00+02:00 Bucharest,24.5°C
2025-01-02T18:37:57+02:00 Bucharest,24.399999618530273°C
2025-01-02T18:45:00+02:00 Bucharest,24.399999618530273°C
2025-01-02T19:00:00+02:00 Bucharest,24.399999618530273°C
2025-01-02T19:15:00+02:00 Bucharest,24.399999618530273°C
2025-01-02T19:30:00+02:00 Bucharest,24.299999237060547°C
2025-01-02T19:37:56+02:00 Bucharest,24.200000762939453°C
2025-01-02T19:45:00+02:00 Bucharest,24.200000762939453°C
2025-01-02T20:00:00+02:00 Bucharest,24.100000381469727°C
2025-01-02T20:15:00+02:00 Bucharest,24.100000381469727°C
2025-01-02T20:17:55+02:00 Bucharest,24°C
2025-01-02T20:27:55+02:00 Bucharest,24.100000381469727°C
2025-01-02T20:30:00+02:00 Bucharest,24.100000381469727°C
2025-01-02T20:45:00+02:00 Bucharest,24.100000381469727°C
2025-01-02T20:57:54+02:00 Bucharest,23.899999618530273°C
2025-01-02T21:00:00+02:00 Bucharest,23.899999618530273°C
2025-01-02T21:15:00+02:00 Bucharest,23.899999618530273°C
2025-01-02T21:30:00+02:00 Bucharest,23.799999237060547°C
2025-01-02T21:45:00+02:00 Bucharest,23.799999237060547°C
2025-01-02T22:00:00+02:00 Bucharest,23.799999237060547°C
2025-01-02T22:15:00+02:00 Bucharest,23.799999237060547°C
2025-01-02T22:17:53+02:00 Bucharest,23.700000762939453°C
2025-01-02T22:30:00+02:00 Bucharest,23.700000762939453°C
2025-01-02T22:45:00+02:00 Bucharest,23.700000762939453°C
2025-01-02T23:00:00+02:00 Bucharest,23.600000381469727°C
2025-01-02T23:15:00+02:00 Bucharest,23.600000381469727°C
2025-01-02T23:17:52+02:00 Bucharest,23.5°C
2025-01-02T23:27:52+02:00 Bucharest,23.399999618530273°C
2025-01-02T23:30:00+02:00 Bucharest,23.399999618530273°C
2025-01-02T23:45:00+02:00 Bucharest,23.399999618530273°C
2025-01-03T00:00:00+02:00 Bucharest,23.399999618530273°C
2025-01-03T00:07:51+02:00 Bucharest,23.200000762939453°C
2025-01-03T00:15:00+02:00 Bucharest,23.200000762939453°C
2025-01-03T00:30:00+02:00 Bucharest,23.200000762939453°C
2025-01-03T00:45:00+02:00 Bucharest,23.200000762939453°C
2025-01-03T01:00:00+02:00 Bucharest,23.200000762939453°C
2025-01-03T01:15:00+02:00 Bucharest,23.200000762939453°C
2025-01-03T01:17:50+02:00 Bucharest,23.5°C
2025-01-03T01:30:00+02:00 Bucharest,23.5°C
2025-01-03T01:37:49+02:00 Bucharest,23.700000762939453°C
2025-01-03T01:45:00+02:00 Bucharest,23.700000762939453°C
2025-01-03T02:00:00+02:00 Bucharest,23.700000762939453°C
2025-01-03T02:07:49+02:00 Bucharest,23.899999618530273°C
2025-01-03T02:15:00+02:00 Bucharest,23.899999618530273°C
2025-01-03T02:17:49+02:00 Bucharest,24°C
2025-01-03T02:30:00+02:00 Bucharest,24°C
2025-01-03T02:37:48+02:00 Bucharest,24.100000381469727°C
2025-01-03T02:45:00+02:00 Bucharest,24.100000381469727°C
2025-01-03T03:00:00+02:00 Bucharest,24.100000381469727°C
2025-01-03T03:15:00+02:00 Bucharest,24.100000381469727°C
2025-01-03T03:30:00+02:00 Bucharest,24.100000381469727°C
2025-01-03T03:45:00+02:00 Bucharest,24.100000381469727°C
2025-01-03T04:00:00+02:00 Bucharest,24.100000381469727°C
2025-01-03T04:15:00+02:00 Bucharest,24.100000381469727°C
2025-01-03T04:27:46+02:00 Bucharest,23.899999618530273°C
2025-01-03T04:30:00+02:00 Bucharest,23.899999618530273°C
2025-01-03T04:45:00+02:00 Bucharest,23.899999618530273°C
2025-01-03T05:00:00+02:00 Bucharest,23.799999237060547°C
2025-01-03T05:15:00+02:00 Bucharest,23.799999237060547°C
2025-01-03T05:17:45+02:00 Bucharest,23.700000762939453°C
2025-01-03T05:30:00+02:00 Bucharest,23.700000762939453°C
2025-01-03T05:45:00+02:00 Bucharest,23.600000381469727°C
