ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 mod:2024-04-22T21:29:28.198Z hisSize:98251 tz:"Bucharest" roomRef:@p:linkEdge:r:2d996b84-7f20b3bf "Site B Room 1 Office" lorawanPoint maxVal:5 his minVal:1 id:@p:linkEdge:r:2d9972a1-f09bb340 "Site B Room 1 Office AQ TVOC" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T03:00:00+02:00 Bucharest innLinkEdge kind:"Number" unit:"ppb" amSensorAM319ModelId:"_amSensorAM319_point:tvoc" sensor cur amSensorRef:@p:linkEdge:r:2d9972a1-07d784a7 "Site B Room 1 Office AQ" curStatus:"ok" point curVal:185ppb disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d9972a1-53363459 "1 Office AQ" navName:"TVOC" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d9972a1-07d784a7 "Site B Room 1 Office AQ" airQuality hisStatus:"ok" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:1 lorawanCur:"tvoc" floorRef:@p:linkEdge:r:2d996b5e-526d9983 "p:linkEdge:r:2d996b5e-526d9983"
2025-01-02T13:11:45+02:00 Bucharest,255ppb
2025-01-02T13:15:00+02:00 Bucharest,255ppb
2025-01-02T13:21:45+02:00 Bucharest,267ppb
2025-01-02T13:30:00+02:00 Bucharest,267ppb
2025-01-02T13:45:00+02:00 Bucharest,267ppb
2025-01-02T13:51:45+02:00 Bucharest,286ppb
2025-01-02T14:00:00+02:00 Bucharest,286ppb
2025-01-02T14:06:45+02:00 Bucharest,292ppb
2025-01-02T14:15:00+02:00 Bucharest,292ppb
2025-01-02T14:21:45+02:00 Bucharest,321ppb
2025-01-02T14:30:00+02:00 Bucharest,321ppb
2025-01-02T14:36:45+02:00 Bucharest,339ppb
2025-01-02T14:41:45+02:00 Bucharest,345ppb
2025-01-02T14:45:00+02:00 Bucharest,345ppb
2025-01-02T14:46:45+02:00 Bucharest,355ppb
2025-01-02T14:56:45+02:00 Bucharest,365ppb
2025-01-02T15:00:00+02:00 Bucharest,365ppb
2025-01-02T15:01:45+02:00 Bucharest,366ppb
2025-01-02T15:11:45+02:00 Bucharest,358ppb
2025-01-02T15:15:00+02:00 Bucharest,358ppb
2025-01-02T15:21:45+02:00 Bucharest,342ppb
2025-01-02T15:30:00+02:00 Bucharest,342ppb
2025-01-02T15:31:45+02:00 Bucharest,331ppb
2025-01-02T15:36:45+02:00 Bucharest,326ppb
2025-01-02T15:41:45+02:00 Bucharest,325ppb
2025-01-02T15:45:00+02:00 Bucharest,325ppb
2025-01-02T15:51:45+02:00 Bucharest,327ppb
2025-01-02T16:00:00+02:00 Bucharest,327ppb
2025-01-02T16:01:45+02:00 Bucharest,328ppb
2025-01-02T16:15:00+02:00 Bucharest,328ppb
2025-01-02T16:21:45+02:00 Bucharest,351ppb
2025-01-02T16:30:00+02:00 Bucharest,351ppb
2025-01-02T16:36:45+02:00 Bucharest,387ppb
2025-01-02T16:45:00+02:00 Bucharest,387ppb
2025-01-02T16:46:00+02:00 Bucharest,402ppb
2025-01-02T16:47:00+02:00 Bucharest,403ppb
2025-01-02T17:00:00+02:00 Bucharest,403ppb
2025-01-02T17:06:45+02:00 Bucharest,444ppb
2025-01-02T17:15:00+02:00 Bucharest,444ppb
2025-01-02T17:21:45+02:00 Bucharest,420ppb
2025-01-02T17:30:00+02:00 Bucharest,420ppb
2025-01-02T17:31:45+02:00 Bucharest,403ppb
2025-01-02T17:36:45+02:00 Bucharest,395ppb
2025-01-02T17:45:00+02:00 Bucharest,395ppb
2025-01-02T17:56:45+02:00 Bucharest,380ppb
2025-01-02T18:00:00+02:00 Bucharest,380ppb
2025-01-02T18:06:45+02:00 Bucharest,379ppb
2025-01-02T18:11:45+02:00 Bucharest,380ppb
2025-01-02T18:15:00+02:00 Bucharest,380ppb
2025-01-02T18:26:45+02:00 Bucharest,396ppb
2025-01-02T18:30:00+02:00 Bucharest,396ppb
2025-01-02T18:31:45+02:00 Bucharest,402ppb
2025-01-02T18:41:45+02:00 Bucharest,412ppb
2025-01-02T18:45:00+02:00 Bucharest,412ppb
2025-01-02T18:46:45+02:00 Bucharest,419ppb
2025-01-02T19:00:00+02:00 Bucharest,419ppb
2025-01-02T19:01:45+02:00 Bucharest,440ppb
2025-01-02T19:11:45+02:00 Bucharest,454ppb
2025-01-02T19:15:00+02:00 Bucharest,454ppb
2025-01-02T19:16:45+02:00 Bucharest,460ppb
2025-01-02T19:26:45+02:00 Bucharest,466ppb
2025-01-02T19:30:00+02:00 Bucharest,466ppb
2025-01-02T19:36:45+02:00 Bucharest,470ppb
2025-01-02T19:45:00+02:00 Bucharest,470ppb
2025-01-02T19:46:45+02:00 Bucharest,471ppb
